method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed
dqn,pico_assimetrico,7,10007,178.8026700041719,496.1999999999998,891.0,215.0,2160,307.475462962963,138.36354581673308,387.54755784061695,2397,7
dqn,pico_assimetrico,8,10008,183.02290712203248,419.0,620.0,215.0,2159,309.8568781843446,148.70852244074635,345.811004784689,2401,7
dqn,pico_assimetrico,9,10009,190.80950305143853,434.3499999999999,545.0,210.0,2062,316.4422890397672,154.22156652360516,349.4139534883721,2294,7
dqn,pico_assimetrico,10,10010,195.10152505446624,500.2999999999997,705.0,201.0,2087,330.92189746046955,154.52012545739677,398.32722513089004,2295,7
dqn,pico_assimetrico,11,10011,193.83994766681204,510.4000000000001,791.0,223.0,2056,330.38472762645915,152.674357629785,397.2150259067358,2293,7
dqn,pico_assimetrico,12,10012,174.04691259021652,376.0,631.0,201.0,2253,308.479804704838,142.28375061364753,315.6258205689278,2494,7
dqn,pico_assimetrico,13,10013,196.36035634743877,477.0,749.0,226.0,2034,326.874139626352,154.16144708423326,395.22137404580155,2245,7
dqn,pico_assimetrico,14,10014,197.17316409791476,508.25,819.0,216.0,1995,320.7994987468672,149.84330794341676,433.5652173913044,2206,7
dqn,pico_assimetrico,15,10015,191.6890756302521,492.0,688.0,222.0,2141,317.53479682391406,148.28434826371415,411.14249363867685,2380,7
dqn,pico_assimetrico,16,10016,183.9983870967742,449.0,778.0,218.0,2232,318.2871863799283,146.45615716339242,383.36386768447835,2480,7
dqn,pico_assimetrico,17,10017,194.82748024582966,492.0,792.0,221.0,2048,332.984375,149.85010593220338,412.56410256410254,2278,7
dqn,pico_assimetrico,18,10018,176.51178861788617,440.0499999999997,579.0,215.0,2250,301.4,137.61519845111326,380.4720812182741,2460,7
dqn,pico_assimetrico,19,10019,172.53865336658353,441.0,606.0,212.0,2157,304.0857672693556,136.25138539042823,343.6318289786223,2406,7
dqn,pico_assimetrico,0,10000,189.26814516129033,350.0499999999997,544.0,218.0,2233,317.56874160322434,170.04217479674796,263.16796875,2480,42
dqn,pico_assimetrico,1,10001,191.09576573011475,376.0,651.0,229.0,2309,313.8354265915981,164.73519499277805,312.76444444444445,2527,42
dqn,pico_assimetrico,2,10002,205.4995996797438,439.1500000000001,685.0,225.0,2271,329.6922060766182,178.59768451519537,336.7176470588235,2498,42
dqn,pico_assimetrico,3,10003,177.07536118703632,343.0,496.0,221.0,2336,301.0154109589041,154.58527131782947,270.4748490945674,2561,42
dqn,pico_assimetrico,4,10004,184.6589991928975,346.1500000000001,652.0,221.0,2246,305.44211932324134,164.45188916876575,266.02028397565925,2478,42
dqn,pico_assimetrico,5,10005,205.20207039337475,403.0,721.0,229.0,2173,331.47630004601933,177.09934110491636,330.6470588235294,2415,42
dqn,pico_assimetrico,6,10006,194.08786936236393,415.4499999999998,613.0,222.0,2334,320.7763496143959,171.61129568106313,295.93333333333334,2572,42
dqn,pico_assimetrico,7,10007,180.58694787107044,415.0,605.0,224.0,2303,300.4290056448111,158.56981871631552,275.79237288135596,2513,42
dqn,pico_assimetrico,8,10008,191.06576325229176,407.0,586.0,226.0,2272,313.67517605633805,166.0009708737864,306.0623608017817,2509,42
dqn,pico_assimetrico,9,10009,185.0543390105434,371.75,526.0,221.0,2254,305.1876663708962,158.1928251121076,302.50762527233115,2466,42
dqn,pico_assimetrico,10,10010,202.6415711947627,435.0,667.0,221.0,2229,333.4647824136384,179.59238858287432,305.6152125279642,2444,42
dqn,pico_assimetrico,11,10011,186.2187120291616,387.0,587.0,220.0,2261,309.5603715170279,159.85721368368866,303.853982300885,2469,42
dqn,pico_assimetrico,12,10012,186.4067730634488,369.0,518.0,226.0,2334,306.2604970008569,163.82892839980778,282.6864754098361,2569,42
dqn,pico_assimetrico,13,10013,199.63151658767774,388.0,637.0,216.0,2295,322.20479302832246,178.21882581271228,293.32908704883226,2532,42
dqn,pico_assimetrico,14,10014,185.65522620904835,395.0,666.0,222.0,2333,309.18474067723963,161.70871013802952,294.3196544276458,2564,42
dqn,pico_assimetrico,15,10015,190.94774631033107,371.0,548.0,225.0,2255,316.9321507760532,166.08599508599508,298.13771186440675,2507,42
dqn,pico_assimetrico,16,10016,192.57843894899537,371.0,575.0,225.0,2326,319.83018056749785,171.49173358526215,287.35668789808915,2588,42
dqn,pico_assimetrico,17,10017,172.18763961280715,341.0,537.0,228.0,2418,290.20802315963607,153.8241554835724,247.7752380952381,2686,42
dqn,pico_assimetrico,18,10018,191.5887814313346,387.0,541.0,217.0,2346,313.55797101449275,167.02757009345794,309.70337078651687,2585,42
dqn,pico_assimetrico,19,10019,179.94805194805195,356.0,547.0,220.0,2299,303.78816876903,156.4306498545102,281.1858037578288,2541,42
dqn,pico_assimetrico,0,10000,165.89467592592592,429.34999999999945,775.0,227.0,2362,288.5169348010161,126.0651376146789,376.6432038834951,2592,123
dqn,pico_assimetrico,1,10001,176.41875981161695,555.3000000000002,984.0,213.0,2333,289.96228032576084,129.71589882565493,486.0,2548,123
dqn,pico_assimetrico,2,10002,183.33333333333334,541.0,788.0,218.0,2302,301.6824500434405,136.8049006010171,475.0463768115942,2508,123
dqn,pico_assimetrico,3,10003,162.35453160700686,506.75,928.0,220.0,2395,280.68100208768266,118.452,425.0691489361702,2626,123
